상호명,영업소도로명소재지,영업소지번소재지,전화번호,데이터 기준일자
아우성 노래연습장,"서울특별시 송파구 백제고분로41길 33, 지층 (송파동)",서울특별시 송파구 송파동 10-7번지 지층 ,02-420-7194,2019-02-22
WEWE,서울특별시 송파구 가락로 79 (석촌동),서울특별시 송파구 석촌동 272-6번지 ,,2019-02-22
참새노래연습장,"서울특별시 송파구 동남로4길 27, 지하1층 (문정동)",서울특별시 송파구 문정동 31-1번지 ,070-7757-1531,2019-02-22
나예노래연습장,"서울특별시 송파구 송이로19길 4, 지층 (가락동)",서울특별시 송파구 가락동 57-5번지 지층 ,02-409-2330,2019-02-22
조아노래연습장,"서울특별시 송파구 양재대로62길 35-1, 2층 (가락동)",서울특별시 송파구 가락동 75-11번지 2층 ,02-449-7588,2019-02-22
뮤엔노래연습장,"서울특별시 송파구 오금로36길 39-1, 지층 (가락동)",서울특별시 송파구 가락동 30-3번지 지층 ,400-8333,2019-02-22
애플,"서울특별시 송파구 백제고분로9길 37, 지층 (잠실동)",서울특별시 송파구 잠실동 187-4번지 지층 ,,2019-02-22
짱구노래연습장,"서울특별시 송파구 송이로 93, 지층 (가락동)",서울특별시 송파구 가락동 49-1번지 지층 ,02-448-4252,2019-02-22
럭셔리,"서울특별시 송파구 오금로11길 22, 지층 (방이동)",서울특별시 송파구 방이동 59-1번지 지층 ,,2019-02-22
수,"서울특별시 송파구 새말로 167, 지층 (문정동)",서울특별시 송파구 문정동 102-1번지 지하 ,,2019-02-22
강남노래연습장,"서울특별시 송파구 천호대로152길 17, 지층 (풍납동)",서울특별시 송파구 풍납동 476-15번지 지층 ,488-7943,2019-02-22
수정노래연습장,"서울특별시 송파구 송파대로32길 6-11, 지층 (가락동)",서울특별시 송파구 가락동 96-14번지 지층 ,400-2661,2019-02-22
힐링노래연습장,"서울특별시 송파구 송이로 98, 지층 (가락동)",서울특별시 송파구 가락동 72-4번지 지층 ,430-7037,2019-02-22
훼미리,"서울특별시 송파구 송파대로27길 30, 2층 (문정동)",서울특별시 송파구 문정동 150-35번지 2층 ,,2019-02-22
토탈노래연습장,"서울특별시 송파구 중대로 188, 지층 (가락동)",서울특별시 송파구 가락동 155-2번지 지층 ,,2019-02-22
소리질러노래연습장,"서울특별시 송파구 동남로4길 19, 지층 (문정동)",서울특별시 송파구 문정동 30-5번지 지층 ,,2019-02-22
힐링,"서울특별시 송파구 백제고분로19길 13, 지층 (잠실동)",서울특별시 송파구 잠실동 237-6번지 지층 ,,2019-02-22
디올 노래연습장,"서울특별시 송파구 송이로 90, 지층 (가락동)",서울특별시 송파구 가락동 72번지 지층 ,408-2227,2019-02-22
오투노래연습장,"서울특별시 송파구 송파대로30길 27, 2층 (가락동)",서울특별시 송파구 가락동 81-3번지 2층 ,404-0540,2019-02-22
제니스,"서울특별시 송파구 백제고분로9길 29, 지층 (잠실동)",서울특별시 송파구 잠실동 189-14번지 지층 ,423-0706,2019-02-22
키스노래연습장,"서울특별시 송파구 송파대로30길 3, 지층 (가락동)",서울특별시 송파구 가락동 96-18번지 지층 ,431-0838,2019-02-22
시크노래연습장,"서울특별시 송파구 송이로20길 12-1, 지층 (가락동)",서울특별시 송파구 가락동 84-6번지 ,,2019-02-22
팝콘노래연습장,"서울특별시 송파구 송파대로30길 11, 202호 (가락동)",서울특별시 송파구 가락동 97-8번지 ,,2019-02-22
요요노래연습장,서울특별시 송파구 중대로9길 48 (가락동),서울특별시 송파구 가락동 87-1번지 ,407-6677,2019-02-22
가윤노래연습장,"서울특별시 송파구 송이로 159, 지층 (가락동)",서울특별시 송파구 가락동 124-7번지 ,,2019-02-22
문노래연습장,"서울특별시 송파구 송파대로28길 27, 101동 124호 (가락동)",서울특별시 송파구 가락동 80번지 ,,2019-02-22
나가수 노래연습장,"서울특별시 송파구 새말로 62, B02호 (문정동)",서울특별시 송파구 문정동 620번지 ,,2019-02-22
강남노래연습장,"서울특별시 송파구 양재대로62길 35-1, 지층 (가락동)",서울특별시 송파구 가락동 75-11번지 ,,2019-02-22
큐노래연습장,"서울특별시 송파구 오금로15길 7-1, 지층 (방이동)",서울특별시 송파구 방이동 68-6번지 ,02-2203-6635,2019-02-22
JJ노래연습장,"서울특별시 송파구 오금로11길 23-9, 2층 (방이동)",서울특별시 송파구 방이동 37-7번지 ,,2019-02-22
씽씽노래연습장,"서울특별시 송파구 송이로20길 20, 지층 (가락동)",서울특별시 송파구 가락동 83번지 ,,2019-02-22
로비한 노래연습장,"서울특별시 송파구 올림픽로32길 22-6, 지층 (방이동)",서울특별시 송파구 방이동 63-13번지 ,,2019-02-22
에이스노래연습장,"서울특별시 송파구 양재대로62길 48, 2층 (가락동)",서울특별시 송파구 가락동 81-6번지 ,,2019-02-22
벌떼노래연습장,"서울특별시 송파구 송이로20길 12, 지층 (가락동)",서울특별시 송파구 가락동 86-9번지 ,,2019-02-22
펜더노래연습장,"서울특별시 송파구 동남로4길 28, 지층 (문정동)",서울특별시 송파구 문정동 40-5번지 ,,2019-02-22
쟁반노래연습장,"서울특별시 송파구 동남로2길 33, 지층 (문정동, 라우빌딩)",서울특별시 송파구 문정동 51번지 ,,2019-02-22
명품노래연습장,"서울특별시 송파구 중대로9길 30, 3층 (가락동)",서울특별시 송파구 가락동 82-6번지 ,02-400-5661,2019-02-22
원더스타노래연습장,"서울특별시 송파구 백제고분로7길 16-3, 2층 (잠실동)",서울특별시 송파구 잠실동 192-1번지 ,02-2202-0134,2019-02-22
놀이터노래연습장,"서울특별시 송파구 오금로36길 22, 지층 (가락동)",서울특별시 송파구 가락동 19-3번지 ,,2019-02-22
우리노래연습장,"서울특별시 송파구 중대로 60-6, 2층 (문정동, 공간빌딩)",서울특별시 송파구 문정동 150-23번지 공간빌딩 2층 ,,2019-02-22
빙고 노래연습장,"서울특별시 송파구 중대로9길 51, 지층 (가락동, 부성빌딩)",서울특별시 송파구 가락동 91-5번지 ,02-404-6771,2019-02-22
준노래연습장,"서울특별시 송파구 동남로4길 12, 지층 (문정동)",서울특별시 송파구 문정동 41-4번지 ,02-425-5988,2019-02-22
신세계노래연습장,"서울특별시 송파구 중대로9길 21, 3층 (가락동, 센터빌딩)",서울특별시 송파구 가락동 97-5번지 ,02-402-4431,2019-02-22
퐁퐁노래연습장,"서울특별시 송파구 송파대로30길 41-15, 지하1층 (가락동)",서울특별시 송파구 가락동 74-2번지 ,,2019-02-22
파파야노래연습장,"서울특별시 송파구 중대로9길 22, 3층 (가락동)",서울특별시 송파구 가락동 82-2번지 ,,2019-02-22
OK노래연습장,서울특별시 송파구 오금로46길 36 (가락동),서울특별시 송파구 가락동 190번지 ,403-3588,2019-02-22
연궁노래연습장,"서울특별시 송파구 양재대로62길 43, 2층 (가락동)",서울특별시 송파구 가락동 75-18번지 ,02-522-4088,2019-02-22
용마노래연습장,"서울특별시 송파구 양재대로62길 43, 지하1층 (가락동)",서울특별시 송파구 가락동 75-18번지 ,,2019-02-22
각시노래연습장,"서울특별시 송파구 송파대로30길 41-5, 지1층 (가락동)",서울특별시 송파구 가락동 76-4번지 ,,2019-02-22
공룡노래연습장,"서울특별시 송파구 양재대로62길 43, 3층 (가락동)",서울특별시 송파구 가락동 75-18번지 ,,2019-02-22
VIP노래연습장,"서울특별시 송파구 올림픽로32길 18, 지하2층 (방이동, 경진빌딩)",서울특별시 송파구 방이동 64-6번지 ,,2019-02-22
또또썬노래연습장,"서울특별시 송파구 송파대로30길 11, 2층 205호 (가락동, 이연파레스)",서울특별시 송파구 가락동 97-8번지 ,,2019-02-22
명품노래연습장,"서울특별시 송파구 오금로44가길 12, 지하1층 (가락동)",서울특별시 송파구 가락동 167-12번지 ,02-448-0210,2019-02-22
카카오노래연습장,"서울특별시 송파구 새말로5길 5, 지하1층 (문정동, 법륜여래유치원)",서울특별시 송파구 문정동 69-2번지 ,02-402-9419,2019-02-22
신바람노래연습장,"서울특별시 송파구 송파대로32길 4, 지하1층 (가락동, 파크빌딩)",서울특별시 송파구 가락동 96-4번지 ,,2019-02-22
팝스타코인노래연습장,"서울특별시 송파구 백제고분로7길 55, 지하1층 (잠실동)",서울특별시 송파구 잠실동 183-8번지 ,,2019-02-22
반딧불노래연습장,"서울특별시 송파구 송파대로22길 21, 지1층 (문정동)",서울특별시 송파구 문정동 46-18번지 지하1호,,2019-02-22
락휴노래연습장 신천점,서울특별시 송파구 백제고분로7길 23 (잠실동),서울특별시 송파구 잠실동 180-2번지 ,,2019-02-22
하모니노래연습장,"서울특별시 송파구 백제고분로39길 31, 지층호 (석촌동, 한흥빌딩)",서울특별시 송파구 석촌동 161-4번지 지층 ,,2019-02-22
서울노래연습장,"서울특별시 송파구 마천로41길 1, 지층 (마천동)",서울특별시 송파구 마천동 126번지 지층 ,,2019-02-22
주니노래연습장,"서울특별시 송파구 중대로9길 21, 2층 201호 (가락동, 센터빌딩)",서울특별시 송파구 가락동 97-5번지 ,,2019-02-22
썸노래연습장,"서울특별시 송파구 송이로20길 10, 지1층 (가락동)",서울특별시 송파구 가락동 86-10번지 ,,2019-02-22
슈퍼스타코인노래연습장,"서울특별시 송파구 올림픽로 116-1, 지1층 (잠실동, 신원빌딩)",서울특별시 송파구 잠실동 184-2번지 ,,2019-02-22
뮤직애빠지다 노래연습장,"서울특별시 송파구 동남로4길 15, 지1층 (문정동)",서울특별시 송파구 문정동 30-1번지 ,,2019-02-22
블루 노래연습장,"서울특별시 송파구 중대로9길 24, 지1층 (가락동)",서울특별시 송파구 가락동 82-3번지 ,,2019-02-22
얌코인 노래연습장,"서울특별시 송파구 마천로 252, 지1층 (거여동)",서울특별시 송파구 거여동 1번지 ,,2019-02-22
쟁반노래연습장,"서울특별시 송파구 양재대로62길 42-1, 지1층 (가락동)",서울특별시 송파구 가락동 86-12번지 ,,2019-02-22
체크노래연습장,"서울특별시 송파구 중대로9길 24, 3층 (가락동)",서울특별시 송파구 가락동 82-3번지 ,,2019-02-22
도깨비코인노래연습장,"서울특별시 송파구 백제고분로48길 6, 지1층 (방이동)",서울특별시 송파구 방이동 111번지 ,,2019-02-22
힐링노래연습장,"서울특별시 송파구 마천로41길 1, 3층 (마천동)",서울특별시 송파구 마천동 126번지 ,,2019-02-22
슈퍼스타코인노래연습장(방이점),"서울특별시 송파구 마천로 29, 지1층 (방이동)",서울특별시 송파구 방이동 208-3번지 지1층 ,,2019-02-22
힐링코인노래연습장,"서울특별시 송파구 백제고분로40길 32, 2층 (석촌동, 남승빌딩)",서울특별시 송파구 석촌동 278-8번지 ,,2019-02-22
잇츠코인노래연습장,"서울특별시 송파구 가락로 214, 지1층 (송파동, 창우빌딩)",서울특별시 송파구 송파동 147-1번지 ,,2019-02-22
놀러와 노래연습장,"서울특별시 송파구 법원로 114, B동 221호 (문정동, 엠스테이트)",서울특별시 송파구 문정동 643-1번지 ,,2019-02-22
오렌지코인노래연습장,"서울특별시 송파구 거마로3길 4, 지1층 (거여동, 뉴비전빌딩)",서울특별시 송파구 거여동 25번지 ,,2019-02-22
악쓰는하마코인노래연습장,"서울특별시 송파구 올림픽로12길 8, 지1층 (잠실동, 제일빌딩)",서울특별시 송파구 잠실동 182-2번지 ,,2019-02-22
캔디노래연습장,"서울특별시 송파구 중대로9길 21, 4층 (가락동, 센터빌딩)",서울특별시 송파구 가락동 97-5번지 ,,2019-02-22
엄지노래연습장,"서울특별시 송파구 송파대로30길 21, 3층 (가락동)",서울특별시 송파구 가락동 81번지 3층 ,02-402-2590,2019-02-22
팝스타2코인노래연습장,"서울특별시 송파구 백제고분로7길 31, 지하1층 (잠실동)",서울특별시 송파구 잠실동 182-5번지 지하1층 ,,2019-02-22
카톡노래연습장,"서울특별시 송파구 중대로 134, 지하1층 (가락동, 부광아트빌딩)",서울특별시 송파구 가락동 112번지 지하1층 ,,2019-02-22
도깨비노래연습장,"서울특별시 송파구 문정로 7, 지층 (문정동, 진주빌딩)",서울특별시 송파구 문정동 51-9번지 ,443-5737,2019-02-22
별노래연습장,"서울특별시 송파구 백제고분로22길 11, 지층 (삼전동, 유라빌라트)",서울특별시 송파구 삼전동 46-8번지 ,,2019-02-22
람보노래연습장,"서울특별시 송파구 송파대로30길 19, 2층 201호 (가락동)",서울특별시 송파구 가락동 82-1번지 ,,2019-02-22
세븐스타 코인노래연습장 송파가락점,"서울특별시 송파구 동남로18길 33, 2층 (가락동)",서울특별시 송파구 가락동 189-5번지 ,,2019-02-22
세븐스타 코인노래연습장 송파구청점,"서울특별시 송파구 올림픽로32길 13, 3층 (방이동)",서울특별시 송파구 방이동 36-8번지 ,,2019-02-22
킹노래연습장,"서울특별시 송파구 중대로9길 21, 센터빌딩 지층 101호 (가락동)",서울특별시 송파구 가락동 97-5번지 센터빌딩 ,,2019-02-22
카스 노래연습장,"서울특별시 송파구 중대로9길 21, 센터빌딩 502호 (가락동)",서울특별시 송파구 가락동 97-5번지 센터빌딩 ,,2019-02-22
강추노래연습장,"서울특별시 송파구 중대로9길 23, 2층 (가락동)",서울특별시 송파구 가락동 97-2번지 ,,2019-02-22
놀러와2 노래연습장,"서울특별시 송파구 법원로 114, 엠스테이트 B동 220호 (문정동)",서울특별시 송파구 문정동 643-1번지 엠스테이트 ,,2019-02-22
스카이노래연습장,"서울특별시 송파구 중대로9길 21, 센터빌딩 5층 501호 (가락동)",서울특별시 송파구 가락동 97-5번지 센터빌딩 ,,2019-02-22
호수노래연습장,"서울특별시 송파구 중대로9길 24, 2층 (가락동)",서울특별시 송파구 가락동 82-3번지 ,,2019-02-22
올인노래연습장,"서울특별시 송파구 중대로9길 23, 4층 (가락동)",서울특별시 송파구 가락동 97-2번지 ,,2019-02-22
백마노래연습장,"서울특별시 송파구 중대로9길 21, 센터빌딩 202호 (가락동)",서울특별시 송파구 가락동 97-5번지 센터빌딩 ,,2019-02-22
사쿠라노래연습장,"서울특별시 송파구 중대로9길 24, B102호 (가락동)",서울특별시 송파구 가락동 82-3번지 ,,2019-02-22
뮬 코인 노래연습장,"서울특별시 송파구 오금로44길 22, 두남빌딩 지층 (가락동)",서울특별시 송파구 가락동 173-18번지 두남빌딩 ,,2019-02-22
THE HIT 코인노래연습장,"서울특별시 송파구 새말로8길 4, 2층 (문정동)",서울특별시 송파구 문정동 71-1번지 ,,2019-02-22
홈런노래연습장,"서울특별시 송파구 중대로9길 21, 센터빌딩 B102호 (가락동)",서울특별시 송파구 가락동 97-5번지 센터빌딩 ,,2019-02-22
입큰노래연습장,"서울특별시 송파구 송파대로30길 13, 지하1층 (가락동)",서울특별시 송파구 가락동 97-7번지 ,,2019-02-22
악쓰는하마 코인노래연습장,"서울특별시 송파구 마천로 43, 칠보빌딩 지하1층 (방이동)",서울특별시 송파구 방이동 207-11번지 칠보빌딩 ,,2019-02-22
차차노래연습장,"서울특별시 송파구 중대로9길 23, 5층 (가락동)",서울특별시 송파구 가락동 97-2번지 ,,2019-02-22
피그코인노래연습장,"서울특별시 송파구 동남로 147, 수동빌딩 지하1층 (가락동)",서울특별시 송파구 가락동 125-2번지 수동빌딩 ,,2019-02-22
샤방샤방노래연습장,"서울특별시 송파구 송파대로30길 8, 훼밀리오피스텔 지하2층 1호 일부호 (가락동)",서울특별시 송파구 가락동 98-2번지 훼밀리오피스텔 ,,2019-02-22
이안노래연습장,"서울특별시 송파구 법원로 128, 문정에스케이브이원지엘메트로시티 B동 209,210호 (문정동)",서울특별시 송파구 문정동 642-3번지 문정에스케이브이원지엘메트로시티 ,,2019-02-22
쏭쏭노래연습장,"서울특별시 송파구 양재대로62길 38, 정민빌딩 지층 (가락동)",서울특별시 송파구 가락동 86-16번지 정민빌딩 ,,2019-02-22
Kstar 코인노래연습장,"서울특별시 송파구 오금로 505, 상호빌딩 지하층 (거여동)",서울특별시 송파구 거여동 37-4번지 상호빌딩 ,,2019-02-22
스타코인노래연습장,"서울특별시 송파구 올림픽로8길 20, 잠실아이파크 A101호 (잠실동)",서울특별시 송파구 잠실동 194번지 잠실아이파크 ,,2019-02-22
엔젤스코인노래연습장,"서울특별시 송파구 백제고분로7길 26, 지하1층 (잠실동)",서울특별시 송파구 잠실동 190번지 ,,2019-02-22
,,,,
